Country,Code,GDP
Aruba,ABW,
Andorra,AND,
Afghanistan,AFG,1925.34300900576
Angola,AGO,7474.10544752738
Albania,ALB,9403.43245989481
Arab World,ARB,15834.7471916229
United Arab Emirates,ARE,58041.8795805189
Argentina,ARG,
Armenia,ARM,7417.53736003879
American Samoa,ASM,
Antigua and Barbuda,ATG,20058.822943102
Australia,AUS,43818.3011752285
Austria,AUT,44122.0257046851
Azerbaijan,AZE,16165.9893337965
Burundi,BDI,749.725363224117
Belgium,BEL,40565.5917254494
Benin,BEN,1716.032280871
Burkina Faso,BFA,1554.56718778452
Bangladesh,BGD,2405.15978780386
Bulgaria,BGR,16040.8183271134
Bahrain,BHR,41368.5754153391
"Bahamas, The",BHS,23102.1712190556
Bosnia and Herzegovina,BIH,9392.47439076993
Belarus,BLR,17163.3754831571
Belize,BLZ,8585.58127783687
Bermuda,BMU,53023.2764313081
Bolivia,BOL,5749.21639644771
Brazil,BRA,14550.5960836379
Barbados,BRB,15566.1807005546
Brunei Darussalam,BRN,72322.9107892897
Bhutan,BTN,7621.4392393354
Botswana,BWA,14695.9012771495
Sub-Saharan Africa (IFC classification),CAA,
Central African Republic,CAF,980.814684710254
Canada,CAN,41297.6397181006
East Asia and the Pacific (IFC classification),CEA,
Europe and Central Asia (IFC classification),CEU,
Switzerland,CHE,53191.2272659133
Channel Islands,CHI,
Chile,CHL,21468.0880434628
China,CHN,10959.5003541054
Cote d'Ivoire,CIV,2795.02981642987
Latin America and the Caribbean (IFC classification),CLA,
Middle East and North Africa (IFC classification),CME,
Cameroon,CMR,2595.52275176169
"Congo, Rep.",COG,5729.75273112564
Colombia,COL,11891.5717509118
Comoros,COM,1519.34268746586
Cabo Verde,CPV,6421.6755697478
Costa Rica,CRI,13319.9635217205
South Asia (IFC classification),CSA,
Caribbean small states,CSS,14306.9369387012
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,30768.3305836713
Czech Republic,CZE,27523.0112396231
Germany,DEU,42700.107667736
Djibouti,DJI,
Dominica,DMA,9797.26534831577
Denmark,DNK,42775.2048527824
Dominican Republic,DOM,11208.3141392217
Algeria,DZA,13001.9531940724
East Asia & Pacific (developing only),EAP,10009.3074423774
East Asia & Pacific (all income levels),EAS,12917.2679096928
Europe & Central Asia (developing only),ECA,13497.0738540291
Europe & Central Asia (all income levels),ECS,27238.3193516296
Ecuador,ECU,10073.1567648985
"Egypt, Arab Rep.",EGY,10871.851089865
Euro area,EMU,36966.8087508691
Eritrea,ERI,1200.40113157588
Spain,ESP,32134.3519388933
Estonia,EST,24449.6592294778
Ethiopia,ETH,1239.62849946204
European Union,EUU,34164.1740964751
Finland,FIN,39198.8262738474
Fiji,FJI,7684.24376467152
France,FRA,36784.7892088998
Faeroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3487.6836831377
Gabon,GAB,18311.3494372364
United Kingdom,GBR,35722.3109773884
Georgia,GEO,6807.85589920477
Ghana,GHA,3702.08362083751
Guinea,GIN,1237.30984691254
"Gambia, The",GMB,1592.32606247908
Guinea-Bissau,GNB,1183.88857280777
Equatorial Guinea,GNQ,38134.0833778468
Greece,GRC,26040.7648525517
Grenada,GRD,11991.570552329
Greenland,GRL,
Guatemala,GTM,7111.71510812197
Guam,GUM,
Guyana,GUY,6159.4939318308
High income,HIC,39320.2602434756
"Hong Kong SAR, China",HKG,51170.3955508757
Honduras,HND,4499.86060367416
Heavily indebted poor countries (HIPC),HPC,1797.37926261465
Croatia,HRV,20960.6709927588
Haiti,HTI,1602.03311080578
Hungary,HUN,22635.1808850458
Indonesia,IDN,9011.03290200776
Isle of Man,IMN,
India,IND,5138.3977356362
Not classified,INX,
Ireland,IRL,43833.8636012064
"Iran, Islamic Rep.",IRN,15731.5616556426
Iraq,IRQ,14781.2882971364
Iceland,ISL,39096.5389278141
Israel,ISR,31344.6523394819
Italy,ITA,34926.0173575309
Jamaica,JAM,8568.64985000269
Jordan,JOR,11538.503682572
Japan,JPN,35618.2308927334
Kazakhstan,KAZ,21881.6313411756
Kenya,KEN,2145.79803063156
Kyrgyz Republic,KGZ,2896.29412279096
Cambodia,KHM,2837.83918473218
Kiribati,KIR,1802.49724043181
St. Kitts and Nevis,KNA,21260.2921260837
"Korea, Rep.",KOR,30010.5653623036
Kosovo,KSV,8436.17781587733
Kuwait,KWT,85659.5481463282
Latin America & Caribbean (developing only),LAC,13862.1969867634
Lao PDR,LAO,4464.88792339938
Lebanon,LBN,16797.6314717375
Liberia,LBR,796.065615058001
Libya,LBY,
St. Lucia,LCA,10421.1513196274
Latin America & Caribbean (all income levels),LCN,14325.8431725415
Least developed countries: UN classification,LDC,1916.06089316748
Low income,LIC,1596.75868975537
Liechtenstein,LIE,
Sri Lanka,LKA,9017.09175869957
Lower middle income,LMC,5766.74921961496
Low & middle income,LMY,8079.15132758773
Lesotho,LSO,2409.36503498267
Lithuania,LTU,24355.5586107794
Luxembourg,LUX,89510.3412221191
Latvia,LVA,21809.8189600133
"Macao SAR, China",MAC,129194.565361624
St. Martin (French part),MAF,
Morocco,MAR,6998.21770044369
Monaco,MCO,
Moldova,MDA,4218.81459414108
Madagascar,MDG,1401.89552171302
Maldives,MDV,11466.8280520166
Middle East & North Africa (all income levels),MEA,17799.6472689163
Mexico,MEX,16426.0284077542
Marshall Islands,MHL,3587.91752194066
Middle income,MIC,9200.47213352476
"Macedonia, FYR",MKD,11834.4393040737
Mali,MLI,1635.0244203985
Malta,MLT,28955.0532724912
Myanmar,MMR,
Middle East & North Africa (developing only),MNA,12187.1792049369
Montenegro,MNE,14357.8680841245
Mongolia,MNG,8433.26721103908
Northern Mariana Islands,MNP,
Mozambique,MOZ,988.192377552882
Mauritania,MRT,2989.51530243256
Mauritius,MUS,16476.9244515821
Malawi,MWI,751.874448895423
Malaysia,MYS,22280.1484307907
North America,NAC,50707.2725274918
Namibia,NAM,9295.57111122617
New Caledonia,NCL,
Niger,NER,899.436471443004
Nigeria,NGA,5534.72066913345
Nicaragua,NIC,4328.46690703945
Netherlands,NLD,43338.9550086792
High income: nonOECD,NOC,34614.804836365
Norway,NOR,66140.699299095
Nepal,NPL,2167.87785411538
New Zealand,NZL,32925.917119646
High income: OECD,OEC,40571.2002061324
OECD members,OED,36803.9996344447
Oman,OMN,45275.0773893656
Other small states,OSS,8910.45491217575
Pakistan,PAK,4436.57847516423
Panama,PAN,16946.3871979725
Peru,PER,11805.430662311
Philippines,PHL,6109.75932931084
Palau,PLW,14662.8308334067
Papua New Guinea,PNG,2423.54028797188
Poland,POL,22782.5855402629
Puerto Rico,PRI,34526.6025925942
"Korea, Dem. Rep.",PRK,
Portugal,PRT,25958.3301995893
Paraguay,PRY,7341.63166630591
Pacific island small states,PSS,4933.54096228806
French Polynesia,PYF,
Qatar,QAT,137623.754824309
Romania,ROU,18063.3664540762
Russian Federation,RUS,23589.3094356605
Rwanda,RWA,1402.73618107134
South Asia,SAS,4748.42127276392
Saudi Arabia,SAU,51678.6483771721
Sudan,SDN,3429.01113239709
Senegal,SEN,2211.52264044787
Singapore,SGP,72724.473088677
Solomon Islands,SLB,1998.23522922703
Sierra Leone,SLE,1613.68352010769
El Salvador,SLV,7575.46145264872
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,11801.2738223249
Sub-Saharan Africa (developing only),SSA,3198.44573468921
South Sudan,SSD,1821.41803905773
Sub-Saharan Africa (all income levels),SSF,3226.73633934268
Small states,SST,9871.65217341729
Sao Tome and Principe,STP,2886.71458392939
Suriname,SUR,15439.751177868
Slovak Republic,SVK,25841.7321960822
Slovenia,SVN,28475.7517959795
Sweden,SWE,42865.8222546556
Swaziland,SWZ,6015.69474282533
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,23556.5759271815
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,2038.42109106042
Togo,TGO,1308.31655904468
Thailand,THA,13823.6069120078
Tajikistan,TJK,2360.8930566272
Turkmenistan,TKM,12677.6852268455
Timor-Leste,TLS,1846.51672347795
Tonga,TON,5216.74668577457
Trinidad and Tobago,TTO,29594.3252114467
Tunisia,TUN,10797.4290727033
Turkey,TUR,18551.3113401087
Tuvalu,TUV,3549.65536372647
Tanzania,TZA,1683.41108193509
Uganda,UGA,1357.46372788542
Ukraine,UKR,8477.99597477524
Upper middle income,UMC,12818.2139425122
Uruguay,URY,18279.5986028838
United States,USA,51748.561485176
Uzbekistan,UZB,4786.77784323029
St. Vincent and the Grenadines,VCT,10451.0112416023
"Venezuela, RB",VEN,17950.836426845
Virgin Islands (U.S.),VIR,
Vietnam,VNM,4998.20360953682
Vanuatu,VUT,2944.94497977047
West Bank and Gaza,PSE,
World,WLD,13803.1157633098
Samoa,WSM,5021.2627108815
"Yemen, Rep.",YEM,4066.2620345757
South Africa,ZAF,12198.3909629841
"Congo, Dem. Rep.",COD,459.014705020216
Zambia,ZMB,3042.32847952849
Zimbabwe,ZWE,1360.61497553847
